Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),C2H4(52),C2H3X(241),CHOX(231)
3.07342225967024e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.374171573131826,0.1432975775637087,0.15607023506877665,3.1004454313893604e-05,0.001163057056528811,0.11025448244511059,0.021987582416637258,3.4136095377074982e-06,9.179325574214067e-06,0.0005628770586199014,8.149605228916143e-13,0.0006790565170679377,1.8305645250929325e-10,1.8034756564900062e-06,2.735072213788356e-09,9.853745325283754e-11,1.532183255881798e-05,3.026459128968807e-07,2.176520171389584e-08,0.0007731557642746769,1.1661715689348684e-08,5.846910690044807e-06,1.314460209880061e-05,1.1704506743809625e-05,9.064761306497547e-08,1.8032069707488095e-07,0.0007562879100048648,0.03461163576807615,0.002552288438811143,5.4069938842454655e-08,4.4283628631441604e-08,8.294261534570995e-10,4.789615901547619e-07,2.888264146137941e-07,3.718480412816021e-07
3.079304251756842e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.3741198870077694,0.14321007971637015,0.1560505866624127,3.104767545399585e-05,0.0011640203056616607,0.11042577767653855,0.022025861692414363,3.4138349916526146e-06,9.189240950636293e-06,0.0005626748438389155,8.159241338491477e-13,0.0006793021008325049,1.8314303190614183e-10,1.803073278647023e-06,2.7407809877897537e-09,9.874440251812689e-11,1.5293024604354643e-05,3.0363787872517817e-07,2.1754643398790312e-08,0.0007733745091257864,1.1671145709993054e-08,5.854973882427256e-06,1.3143494392984316e-05,1.1683730530116703e-05,9.075941405637125e-08,1.8023074482000404e-07,0.000757655313488428,0.034659623355919635,0.002554414471935402,5.397488797052671e-08,4.431341891064976e-08,8.309202853564357e-10,4.805314509672529e-07,2.8912076136979684e-07,3.717616634411291e-07
3.085186243843444e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.3740682593426332,0.14312265225462864,0.15603094615330404,3.109087847968993e-05,0.0011649824477930055,0.11059693657364876,0.022064126132657656,3.414047110281482e-06,9.199144930800025e-06,0.0005624726366088732,8.168822403896829e-13,0.0006795474152173175,1.832290187165068e-10,1.8026673425337445e-06,2.7464902871538758e-09,9.895112755836307e-11,1.5264339677271846e-05,3.0463071468146606e-07,2.174408844491529e-08,0.0007735929166585546,1.1680572584287928e-08,5.863032159146504e-06,1.3142383978239945e-05,1.1663035028311435e-05,9.08712231062102e-08,1.8014091567831622e-07,0.0007590220400502725,0.034707556126999946,0.0025565378041679135,5.388020562208419e-08,4.43431650898319e-08,8.324142447428446e-10,4.821026887975635e-07,2.894144835445781e-07,3.7167534525398056e-07
3.0910682359300465e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.3740166900598535,0.14303529509350082,0.15601131353221423,3.113406344324963e-05,0.0011659434868688393,0.11076795929515262,0.02210237575298292,3.4142459642708406e-06,9.2090375370733e-06,0.0005622704369691146,8.178348558830575e-13,0.0006797924606987665,1.8331441602567489e-10,1.80225786979008e-06,2.7522001079306625e-09,9.915762799156411e-11,1.5235776995930298e-05,3.056244180079238e-07,2.17335368512075e-08,0.000773810987675262,1.1689996315194725e-08,5.87108552819557e-06,1.3141270870476062e-05,1.164241977605873e-05,9.098304001366382e-08,1.8005120943333432e-07,0.0007603880888567451,0.03475543415122907,0.002558658442631111,5.378588972893084e-08,4.437286733930728e-08,8.339080310300936e-10,4.836752992810306e-07,2.8970758255338953e-07,3.7158908694939706e-07
3.096950228016649e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.3739651790830269,0.14294800814815292,0.15599168878992212,3.1177230396713985e-05,0.0011669034268131932,0.11093884599951466,0.022140610568988105,3.4144316239495425e-06,9.218918791714111e-06,0.0005620682449592553,8.187819937394622e-13,0.0006800372377521232,1.8339922690440683e-10,1.8018448819188354e-06,2.757910446185487e-09,9.936390344013965e-11,1.5207335785410258e-05,3.066189859548305e-07,2.1722988616617445e-08,0.0007740287229779337,1.1699416905719848e-08,5.87913399755371e-06,1.3140155085486362e-05,1.1621884314565264e-05,9.109486457802327e-08,1.799616258674774e-07,0.0007617534590768362,0.03480325749838548,0.0025607763944143357,5.3691938238008604e-08,4.440252582845911e-08,8.354016436344243e-10,4.852492780658068e-07,2.900000598076623e-07,3.7150288875084585e-07
3.102832220103251e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.3739137263359153,0.14286079133390056,0.15597207191722146,3.122037939188886e-05,0.0011678622715283052,0.11110959684495282,0.022178830596253283,3.414604159300298e-06,9.22878871687125e-06,0.0005618660606192005,8.197236674085445e-13,0.0006802817468515585,1.8348345440900278e-10,1.801428400286829e-06,2.7636212979990294e-09,9.9569953530863e-11,1.5179015277438382e-05,3.0761441578053166e-07,2.1712443740110048e-08,0.0007742461233639867,1.1708834358913837e-08,5.8871775751881165e-06,1.3139036638907319e-05,1.160142818852593e-05,9.120669659917215e-08,1.7987216476522851e-07,0.0007631181498872386,0.034851026238109664,0.0025628916665736685,5.3598349112207775e-08,4.443214072576057e-08,8.368950819783042e-10,4.868246208128188e-07,2.902919167093084e-07,3.7141675088007294e-07
3.1087142121898533e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.3738623317424432,0.14277364456620803,0.15595246290492137,3.126351048034866e-05,0.001168820024894787,0.11128021198943897,0.022217035850340728,3.4147636399614017e-06,9.238647334585075e-06,0.0005616638839891538,8.206598903785185e-13,0.0006805259884701643,1.8356710158137107e-10,1.801008446125998e-06,2.7693326594672294e-09,9.977577789484356e-11,1.5150814710315388e-05,3.086107047514141e-07,2.1701902220665304e-08,0.0007744631896283253,1.171824867787049e-08,5.895216269048137e-06,1.3137915546467476e-05,1.1581050946095485e-05,9.131853587789856e-08,1.7978282591206903e-07,0.0007644821604702967,0.034898740439906054,0.0025650042661315995,5.350512032924725e-08,4.4461712198763215e-08,8.383883454874733e-10,4.884013231957243e-07,2.905831546609671e-07,3.713306735615632e-07
3.1140080050677953e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.3738161262669304,0.14269527229534448,0.15593482150690952,3.130231319216221e-05,0.0011696810730115691,0.11143364972552812,0.022251407960800298,3.414896068076614e-06,9.24751044079312e-06,0.0005614819316476477,8.214978418821499e-13,0.0006807455776209194,1.8364189035504315e-10,1.8006275358094738e-06,2.774473317328902e-09,9.99608265246455e-11,1.5125536125027746e-05,3.095080971414703e-07,2.1692417722622638e-08,0.0007746582642506498,1.1726718887750267e-08,5.902446924452112e-06,1.3136904313972588e-05,1.156277850272777e-05,9.141919726947794e-08,1.797025252873153e-07,0.0007657091877250847,0.03494163664893529,0.0025669033264375503,5.342152085765335e-08,4.448828953441066e-08,8.397321326876309e-10,4.898215142635215e-07,2.9084474077537276e-07,3.7125325592089284e-07
3.118772418657943e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.373774581515043,0.1426247856531065,0.15591894968054384,3.133722329786878e-05,0.0011704552654893652,0.11157164991244553,0.022282332649170976,3.415006301910669e-06,9.25547943375639e-06,0.000561318179932505,8.222482408909237e-13,0.0006809430232233932,1.837088022553813e-10,1.8002823388755687e-06,2.779100257337706e-09,1.0012721349459963e-10,1.5102867488800752e-05,3.1031634176805846e-07,2.168388399802499e-08,0.0007748336010424202,1.1734339910111828e-08,5.90895114232818e-06,1.3135992392436184e-05,1.1546387355700559e-05,9.150979729062008e-08,1.7963033910970608e-07,0.0007668130401101399,0.03498020555658788,0.0025686106388378874,5.3346528297104856e-08,4.451217927830027e-08,8.409414193478736e-10,4.911006222608147e-07,2.9107974143308635e-07,3.7118362225428504e-07
3.123536832248091e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.373733074783019,0.14255434481859583,0.15590308299509428,3.137212174593016e-05,0.0011712287487630859,0.11170956134604147,0.022313247672471444,3.4151080932611925e-06,9.26344104674315e-06,0.0005611544333484237,8.229950878004816e-13,0.00068114029416924,1.837753387615e-10,1.7999349009297706e-06,2.783727524839086e-09,1.0029345172341904e-10,1.5080276212639805e-05,3.11125145245583e-07,2.167535247423303e-08,0.0007750087200254001,1.1741958881741244e-08,5.91545217004933e-06,1.3135078762536815e-05,1.1530047172026825e-05,9.160040172029634e-08,1.7955823275758923e-07,0.0007679164447574223,0.035018738805049215,0.002570316210124471,5.3271768610587685e-08,4.453604082643937e-08,8.421505902890501e-10,4.923806146643555e-07,2.9131433847636163e-07,3.7111402869792105e-07
3.1283012458382387e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.3736916060307356,0.1424839497471712,0.15588722144570516,3.140700856331784e-05,0.0011720015248542187,0.11184738410979735,0.02234415303893785,3.4152014784827283e-06,9.271395291261812e-06,0.0005609906919173933,8.237383898492636e-13,0.0006813373907077833,1.8384150146264244e-10,1.799585233001251e-06,2.7883551177872677e-09,1.0045954102327006e-10,1.5057761904067453e-05,3.119345061366193e-07,2.1666823150734838e-08,0.0007751836216199683,1.1749575804363275e-08,5.921950011810596e-06,1.3134163432488375e-05,1.151375771809716e-05,9.169101045363427e-08,1.7948620611584116e-07,0.0007690194012396991,0.0350572364310011,0.0025720200439669585,5.319724075128011e-08,4.4559874266112165e-08,8.4335964521127e-10,4.936614891992016e-07,2.9154853264602473e-07,3.710444753584083e-07
3.1330656594283864e-07,0.16628943999999998,0.631014654409785,0.0,0.0,0.37365017521814003,0.14241360039425474,0.15587136502752708,3.1441883776906955e-05,0.0011727735957752599,0.11198511828708937,0.022375048756798695,3.4152864937848846e-06,9.279342178775668e-06,0.0005608269556615545,8.244781542906306e-13,0.0006815343130878793,1.839072919419885e-10,1.7992333460632119e-06,2.7929830341429565e-09,1.0062548120813258e-10,1.5035324173301103e-05,3.127444230071483e-07,2.16582960270256e-08,0.0007753583062433373,1.1757190679720238e-08,5.928444671805041e-06,1.31332464104231e-05,1.1497518761733964e-05,9.178162338585979e-08,1.7941425907216573e-07,0.0007701219091339227,0.03509569847106592,0.00257372214402138,5.312294367954941e-08,4.4583679684257214e-08,8.445685838188017e-10,4.949432435958082e-07,2.917823246769358e-07,3.709749623441861e-07
