Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),C2H4(52),C2H3X(241)
8.616672737872149e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.1222102386297479,0.20098622223739426,0.16702196675092357,1.35379153057649e-10,6.074365963535516e-05,9.597023776711862e-08,1.4463000894774323e-15,3.7839056945612164e-10,1.6047788335335692e-10,6.443391038582708e-17,5.086546772465538e-43,4.004842126123093e-20,8.159863020347745e-27,9.292897600346672e-08,2.7680464009796185e-26,4.339208810019973e-27,3.212907234984213e-16,5.0241265270758035e-18,7.145497142654128e-19,6.57756100448776e-05,1.5510260490096276e-14,2.695908492513216e-08,0.00023880414503065438,0.0012925209991500586,1.1066500608110735e-09,3.3163247824376814e-07,5.7215100825101096e-05,3.892781889247989e-06,8.164284931087065e-11,1.889180119768801e-07,7.891075032311777e-09,1.5737038786549243e-16,1.2984384567040117e-35,3.5338417762828046e-13
8.635593174330665e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.12220667693525407,0.20098557942716483,0.1670205034970031,1.3668939846851794e-10,6.093417039168162e-05,9.674314792284892e-08,1.457224152290306e-15,3.79819649946999e-10,1.60970890038628e-10,6.462166573935505e-17,5.153088428006619e-43,4.0239734849253873e-20,8.220173870975061e-27,9.307323667218831e-08,2.785969025850799e-26,4.364074421471556e-27,3.2152753231285105e-16,5.027883687446133e-18,7.184447791083221e-19,6.595892995609291e-05,1.5686647765444278e-14,2.709634066906976e-08,0.0002392588425842928,0.0012952571350772883,1.1047042744697386e-09,3.317603591424957e-07,5.7401095922120766e-05,3.894487351413e-06,8.246552322349227e-11,1.8847070913650116e-07,7.914905002705375e-09,1.577667642779154e-16,1.3065011008869383e-35,3.551243223248962e-13
8.65451361078918e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.12220311555813325,0.20098493668608752,0.16701904034118717,1.3800909036822129e-10,6.112475894448475e-05,9.75203746584204e-08,1.468202829670519e-15,3.8124982784991716e-10,1.6146406975683492e-10,6.480942596281302e-17,5.2203162445305826e-43,4.043147023275549e-20,8.280756676862896e-27,9.321721098035649e-08,2.803957932187987e-26,4.389012142823762e-27,3.2176343194649767e-16,5.031627656667533e-18,7.223511432649959e-19,6.614227544805093e-05,1.586466165032028e-14,2.723394067183179e-08,0.0002397134055916009,0.00129799299485743,1.1027646882908619e-09,3.3188757137076153e-07,5.758716383445551e-05,3.89618598522133e-06,8.329454513312037e-11,1.880254612936138e-07,7.938744517298951e-09,1.581630052288503e-16,1.3145903230643888e-35,3.568685388441072e-13
8.673434047247697e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.12219955449838639,0.20098429401414605,0.16701757728346336,1.393382734020914e-10,6.131542494143705e-05,9.830193063530381e-08,1.4792362513628616e-15,3.826810978373178e-10,1.619574215096898e-10,6.499719062324121e-17,5.2882353087195274e-43,4.0623626929292905e-20,8.341611775440005e-27,9.336089994603313e-08,2.8220131540575176e-26,4.4140219505128224e-27,3.219984265291829e-16,5.035358499850763e-18,7.262688068199456e-19,6.632564612837728e-05,1.6044313462144704e-14,2.7371884872201606e-08,0.00024016783444271122,0.0013007285788795603,1.1008312806674526e-09,3.3201411954073697e-07,5.777330413362862e-05,3.897877839754851e-06,8.412994806867514e-11,1.8758225558552525e-07,7.962593521342215e-09,1.5855911117774773e-16,1.322706117889478e-35,3.586168260482451e-13
8.692354483706213e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.12219599375601477,0.20098365141132407,0.16701611432381924,1.406769923144126e-10,6.150616803277571e-05,9.908782851100717e-08,1.4903245470535346e-15,3.8411345461471257e-10,1.624509443058497e-10,6.518495929083986e-17,5.3568507289664645e-43,4.081620445568106e-20,8.402739502525305e-27,9.350430458329895e-08,2.8401347252029994e-26,4.439103820996873e-27,3.2223252016545633e-16,5.039076281715554e-18,7.301977698316575e-19,6.650904160692186e-05,1.6225614569772e-14,2.7510173209081062e-08,0.0002406221295251215,0.0013034638875300858,1.0989040222657523e-09,3.32140008229398e-07,5.795951639421708e-05,3.899562963681468e-06,8.49717651373966e-11,1.8714107925821936e-07,7.986451960520438e-09,1.5895508263587941e-16,1.330848479914555e-35,3.603691828058209e-13
8.709382876518877e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.12219278935923751,0.20098307312786803,0.16701479774398734,1.4189002957243933e-10,6.167790244365337e-05,9.979885938082907e-08,1.5003510375822015e-15,3.8540350057040246e-10,1.6289526025059494e-10,6.535395416510737e-17,5.419204231208208e-43,4.098988363900964e-20,8.457987830538991e-27,9.363312649098381e-08,2.8565008954952206e-26,4.461739098685328e-27,3.2244243750111957e-16,5.042411171145955e-18,7.337434976052459e-19,6.667411841940944e-05,1.6390205152432922e-14,2.763492689858625e-08,0.00024103088104521133,0.0013059254301900731,1.0971747298062576e-09,3.322527479473307e-07,5.81271686065734e-05,3.901073860440236e-06,8.573491200924066e-11,1.8674574521685046e-07,8.007932578278657e-09,1.5931134237055862e-16,1.3381993161102068e-35,3.6194978242561344e-13
8.724708430050274e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.12218990562193856,0.20098255272060536,0.16701361289004762,1.4298842530647668e-10,6.183251635687468e-05,1.0044181053061662e-07,1.5094130498902488e-15,3.865652877906643e-10,1.6329526178566816e-10,6.550605177626109e-17,5.475811300367101e-43,4.1146485722614855e-20,8.507900566582196e-27,9.374887060224799e-08,2.871276442058735e-26,4.482160725253064e-27,3.226307444223356e-16,5.045403609123695e-18,7.369424780684823e-19,6.682270422344511e-05,1.6539493715107075e-14,2.7747443471972925e-08,0.00024139866526880585,0.0013081406283710208,1.0956225942553514e-09,3.3235376283283315e-07,5.8278104889169954e-05,3.90242906851643e-06,8.642622932198077e-11,1.8639133368677734e-07,8.027271599017847e-09,1.5963188362662657e-16,1.344833460562166e-35,3.63375138998637e-13
8.740033983581671e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.122187022092873,0.20098203235866322,0.16701242810043587,1.4409315741141652e-10,6.198718023814525e-05,1.0108763289241315e-07,1.5185112954229044e-15,3.8772777874746476e-10,1.6369537380203207e-10,6.565815126256271e-17,5.53288440286535e-43,4.13033630511806e-20,8.557992766041129e-27,9.386442995570084e-08,2.886095579329546e-26,4.502629590449727e-27,3.228184674487439e-16,5.048387591375196e-18,7.401488721249108e-19,6.697130561110629e-05,1.6689884764120424e-14,2.78601857250781e-08,0.0002417663624072001,0.0013103556465590704,1.0940744492930746e-09,3.32454353056519e-07,5.842908763909295e-05,3.9037799458380665e-06,8.712181406932836e-11,1.8603823127453903e-07,8.046616714987156e-09,1.5995233754539817e-16,1.351485025742489e-35,3.64803163613993e-13
8.755359537113068e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.12218413877204225,0.200981512042033,0.16701124337514547,1.4520424985615235e-10,6.214189390642848e-05,1.0173633318510679e-07,1.5276458429884805e-15,3.88890970689713e-10,1.6409559578590552e-10,6.581025240156459e-17,5.590426295264325e-43,4.14605153665374e-20,8.608264604320635e-27,9.397980508265991e-08,2.900958324627722e-26,4.523145681818476e-27,3.230056087139743e-16,5.051363151553994e-18,7.433626797564489e-19,6.711992237925455e-05,1.6841384440603325e-14,2.7973153625659617e-08,0.00024213397266135232,0.0013125704849545482,1.09253028368169e-09,3.325545209842601e-07,5.858011663599615e-05,3.905126517492149e-06,8.782168399568184e-11,1.85686431387652e-07,8.06596789814317e-09,1.6027270438701634e-16,1.3581540085667821e-35,3.6623385568212976e-13
8.770685090644465e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.12218125565944785,0.20098099177070614,0.16701005871416982,1.4632172665210442e-10,6.229665718175432e-05,1.023879181257845e-07,1.5368167613702017e-15,3.900548608801516e-10,1.6449592722639363e-10,6.596235497213333e-17,5.648439743489334e-43,4.1617942410214164e-20,8.658716256145626e-27,9.409499651274762e-08,2.915864695137628e-26,4.5437089869152845e-27,3.231921703411517e-16,5.054330323154954e-18,7.465839009341772e-19,6.72685543256782e-05,1.6993998908021612e-14,2.8086347141526413e-08,0.00024250149623112504,0.0013147851437566682,1.0909900834965327e-09,3.32654268967276e-07,5.8731191660800556e-05,3.906468808395422e-06,8.85258568788831e-11,1.8533592747795368e-07,8.085325120623142e-09,1.6059298441519174e-16,1.364840405909154e-35,3.676672146161103e-13
8.786010644175862e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.1221783727550915,0.2009804715446742,0.16700887411750232,1.4744561185320762e-10,6.245146988521254e-05,1.0304239442971524e-07,1.5460241193262328e-15,3.912194465952853e-10,1.6489636761546182e-10,6.611445875444147e-17,5.706927522832701e-43,4.177564392344126e-20,8.709347895563403e-27,9.421000477389498e-08,2.930814707908493e-26,4.5643194933104905e-27,3.2337815444296247e-16,5.0572891395065806e-18,7.498125356184048e-19,6.741720124908719e-05,1.714773435221145e-14,2.8199766240538526e-08,0.00024286893331529208,0.001316999623163547,1.0894538349030975e-09,3.3275359934238103e-07,5.888231249568328e-05,3.907806843295788e-06,8.923435053016995e-11,1.8498671303861e-07,8.104688354742696e-09,1.6091317792151464e-16,1.3715442146025456e-35,3.6910323983160395e-13
8.801336197707259e-09,0.049886832000000006,0.631014654409785,0.0,0.0,0.12217549005897509,0.20097995136392852,0.16700768958513634,1.485759295558992e-10,6.260633183894635e-05,1.0369976881033329e-07,1.5552679855896975e-15,3.9238472512531073e-10,1.6529691644791372e-10,6.626656352995974e-17,5.76589241795678e-43,4.1933619647153637e-20,8.760159695945949e-27,9.432483039234496e-08,2.9458083798549855e-26,4.5849771885899635e-27,3.235635631217189e-16,5.060239633775695e-18,7.530485837587316e-19,6.756586294910731e-05,1.7302596981414117e-14,2.8313410890607113e-08,0.00024323628411154522,0.0013192139233722058,1.0879215261206649e-09,3.32852514431915e-07,5.903347892406769e-05,3.909140646773631e-06,8.994718279412678e-11,1.8463878160175822e-07,8.12405757299554e-09,1.6123328517546873e-16,1.3782654314390597e-35,3.7054193074687846e-13
