Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),C2H4(52)
9.311381321298279e-11,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41283980365712325,0.11865715930978254,0.022821014089080525,3.4693432613900363e-16,3.863706720259729e-11,4.43361073058842e-07,3.7584048044954964e-11,7.652237447168864e-14,1.0568256044526486e-11,8.680644135989869e-07,1.3278351799005498e-27,1.0271063651323504e-06,6.311376946525653e-19,1.5036509987204025e-14,5.295560439960741e-19,3.337818952072047e-23,5.559566280451675e-10,2.7924343769378224e-14,4.5945818846715685e-12,4.381237486818998e-05,6.078737030811448e-18,1.3557023723371882e-11,5.967002665044971e-07,1.1052942284284081e-06,2.2546698101484033e-08,1.2627068098291234e-07,4.71746165567628e-08,1.1145896911495999e-05,1.8342838158223034e-08,1.2480262390449462e-09,1.8484785490387174e-13,1.241586786075255e-16,3.3525833877027524e-14
9.566740475117518e-11,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41283823326182123,0.1186568081290192,0.022820998909168704,3.89753993513625e-16,4.2222135329829295e-11,4.597424528420294e-07,4.1119649646311504e-11,7.881950685330432e-14,1.1156289109307772e-11,8.918708050384139e-07,1.4772961378465075e-27,1.0612248772399179e-06,6.643165456828383e-19,1.6001815761966223e-14,5.808163672502824e-19,3.7586189987308017e-23,5.915827591539072e-10,2.860795506402322e-14,4.729200872001297e-12,4.502403153700819e-05,6.827621068575213e-18,1.4403493813673083e-11,6.096612695147997e-07,1.1355677465228127e-06,2.2544927247341897e-08,1.2627943929405664e-07,4.788123057203155e-08,1.1459591565056192e-05,1.9395994836803898e-08,1.2898690322160214e-09,1.959984504268668e-13,1.3465875171200059e-16,3.4619725601417855e-14
9.822099628936757e-11,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41283666384952605,0.11865645695007923,0.022820983729382203,4.364343891730766e-16,4.602594530273864e-11,4.764471649178012e-07,4.4872560533456306e-11,8.112686211055277e-14,1.176017798844166e-11,9.156757958508599e-07,1.638746674556806e-27,1.0956570044033396e-06,6.982087982250856e-19,1.6999104740517058e-14,6.355677732739169e-19,4.218336586883077e-23,6.283840229652164e-10,2.92923653283055e-14,4.8638116677930974e-12,4.623467766490419e-05,7.643820260116749e-18,1.5275938399407806e-11,6.226137241546209e-07,1.165839207856706e-06,2.2543169840692644e-08,1.2628825532483435e-07,4.860702224586786e-08,1.1773274836172476e-05,2.0479245171552458e-08,1.3318645659966116e-09,2.0749224843304673e-13,1.4572690324210536e-16,3.571541819545756e-14
9.999999999999999e-11,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128355710807244,0.11865621229627055,0.02282097315419542,4.713566393383399e-16,4.880881421586331e-11,4.88280364487434e-07,4.7619007000100426e-11,8.27405049188411e-14,1.2190256801543815e-11,9.322591306413505e-07,1.7586233281461974e-27,1.119829881997197e-06,7.222381783059513e-19,1.7712850850625952e-14,6.7585100171863425e-19,4.562853888138084e-23,6.547189747265617e-10,2.9769668211438286e-14,4.957585787077469e-12,4.707748952031001e-05,8.254299860399587e-18,1.5899092117337015e-11,6.316321404060677e-07,1.1869271213633264e-06,2.254195346046709e-08,1.2629443116667346e-07,4.912397580150733e-08,1.1991801080866204e-05,2.1251726546210542e-08,1.3612105732927851e-09,2.1570309198262063e-13,1.5378099455685753e-16,3.647983287336056e-14
1.0077458782755996e-10,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128350954361474,0.11865610577295516,0.022820968549720946,4.872015641591048e-16,5.005527709894511e-11,4.934836431785558e-07,4.884934070456462e-11,8.344470767973954e-14,1.2379919473339801e-11,9.394793935686761e-07,1.8127776448376244e-27,1.1304023551725486e-06,7.328071925765175e-19,1.8028499574231204e-14,6.939543682476942e-19,4.7193235137313306e-23,6.663645634894763e-10,2.997762032657889e-14,4.998414312555173e-12,4.744429730835665e-05,8.531251869454377e-18,1.6174355622480463e-11,6.35557473934166e-07,1.1961085973077207e-06,2.254142588134783e-08,1.2629712886548715e-07,4.935196164290867e-08,1.2086946904935427e-05,2.159264706152258e-08,1.3740106288618987e-09,2.193304807073976e-13,1.573773110080823e-16,3.681294418504315e-14
1.0332817936575235e-10,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128335280375387,0.11865575459763941,0.022820953370184863,5.4228799847903e-16,5.43169294152095e-11,5.108602950010442e-07,5.305654924112756e-11,8.577331094120547e-14,1.3015510375912698e-11,9.632816057126963e-07,1.999991369842512e-27,1.1654605339553293e-06,7.681047634461933e-19,1.909012141206449e-14,7.561225792302988e-19,5.264001330512189e-23,7.055284633565669e-10,3.0663762777625585e-14,5.133008847515389e-12,4.8652874579613626e-05,9.493942506080716e-18,1.7098743519358624e-11,6.48492362766208e-07,1.2263758997162557e-06,2.2539695367685727e-08,1.263060596993175e-07,5.0116018354234985e-08,1.2400607951532032e-05,2.273625854799534e-08,1.4163050925368497e-09,2.315143501811966e-13,1.6962409711876649e-16,3.7912339041009977e-14
1.0588177090394475e-10,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128319616694968,0.11865540342412445,0.022820938190773868,6.019325992342208e-16,5.881771902430673e-11,5.285855008242684e-07,5.7500744285034314e-11,8.811293921946783e-14,1.3666947528515406e-11,9.870824397920863e-07,2.2010015327595336e-27,1.2008311410339997e-06,8.04094834412924e-19,2.0184089958309185e-14,8.222211317697875e-19,5.854861328135656e-23,7.458797459608556e-10,3.135083293739777e-14,5.267595314362317e-12,4.986039364748358e-05,1.0536027979209281e-17,1.8049100044914704e-11,6.614182349796679e-07,1.2566410998958052e-06,2.2537978296945997e-08,1.263150476042244e-07,5.0899161500333627e-08,1.2714258156227343e-05,2.3910137806935586e-08,1.4587459001544755e-09,2.440450303353535e-13,1.824813276779769e-16,3.901364059450056e-14
1.0843536244213714e-10,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128303963477609,0.11865505225240272,0.0228209230114879,6.663806987701574e-16,6.356448012864127e-11,5.466676137306179e-07,6.218848302046096e-11,9.046385978339458e-14,1.4334227783898805e-11,1.0108819033042073e-06,2.4164330819763387e-27,1.2365137725822982e-06,8.407710124853633e-19,2.1310523523038052e-14,8.924010275754533e-19,6.494464522626913e-23,7.874223773355007e-10,3.2038869076481153e-14,5.402173755055796e-12,5.106683873812814e-05,1.1661753152544853e-17,1.902542309148025e-11,6.743349353308655e-07,1.2869041826413467e-06,2.2536274665457974e-08,1.2632409235402783e-07,5.17013597339613e-08,1.302789769934881e-05,2.511434314141616e-08,1.5013310566302413e-09,2.569236647880571e-13,1.9596301245816962e-16,4.0116888557646704e-14
1.1098895398032953e-10,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128288320880119,0.11865470108246662,0.022820907832326872,7.358840528449782e-16,6.856406371178618e-11,5.651149590302769e-07,6.712632165973049e-11,9.28263398464058e-14,1.5017348015165928e-11,1.0346800037344815e-06,2.6469221415655874e-27,1.2725080206824741e-06,8.781271827626485e-19,2.2469539066433257e-14,9.668155222472433e-19,7.185441640404972e-23,8.301602678003397e-10,3.272790786913528e-14,5.536744211696307e-12,5.2272194135854084e-05,1.287547179952252e-17,2.0027710503947022e-11,6.872423090133432e-07,1.3171651327361123e-06,2.25345844687787e-08,1.2633319371915089e-07,5.2522581242927185e-08,1.334152676127288e-05,2.634893297402254e-08,1.544058620884459e-09,2.7015136699918595e-13,2.1008310456082776e-16,4.1222124132705756e-14
1.1354254551852192e-10,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41282726890587157,0.11865434991430862,0.022820892653290698,8.107008388139863e-16,7.382333688904011e-11,5.839358338490205e-07,7.232081543273242e-11,9.520064656670178e-14,1.571630511573201e-11,1.0584767485562745e-06,2.8931159291495176e-27,1.3088134733425826e-06,9.161575031968322e-19,2.366125223759073e-14,1.0456201030628096e-18,7.930493103414979e-23,8.740972734053529e-10,3.3417984702521033e-14,5.671306726449324e-12,5.3476444183905546e-05,1.4181646458974862e-17,2.1055960091325086e-11,7.001402016657199e-07,1.3474239349569024e-06,2.25329077017867e-08,1.2634235146720814e-07,5.3362793752818574e-08,1.3655145522413671e-05,2.761396583924893e-08,1.5869266997237403e-09,2.8372922009719257e-13,2.248555000635902e-16,4.2329389701040376e-14
1.1609613705671431e-10,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128257068169018,0.11865399874792115,0.02282087747437931,8.910956538251037e-16,7.934918225896075e-11,6.031385067194557e-07,7.777851857917597e-11,9.758704704750623e-14,1.6431095999287152e-11,1.0822721452307782e-06,3.1556726810648495e-27,1.3454297145139888e-06,9.548563994563928e-19,2.4885777408815068e-14,1.1289724668199842e-18,8.732389014143927e-23,9.192371972072533e-10,3.4109133920262575e-14,5.805861341504061e-12,5.467957328525203e-05,1.558484829114019e-17,2.2110169635481918e-11,7.130284593788851e-07,1.3776805740782332e-06,2.253124435870737e-08,1.2635156536307594e-07,5.4221964529673607e-08,1.3968754163213049e-05,2.8909500375907308e-08,1.6299334430556883e-09,2.976582768369959e-13,2.402940376544448e-16,4.3438728577785006e-14
1.1864972859490672e-10,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41282414583660393,0.11865364758329665,0.022820862295592624,9.7733951302022e-16,8.514849725776899e-11,6.227312171756888e-07,8.350598434281169e-11,9.99858083373145e-14,1.7161717599759027e-11,1.1060662012068992e-06,3.435261584579294e-27,1.3823563241090805e-06,9.942185598878038e-19,2.6143227706617075e-14,1.2170324977307835e-18,9.593969140554924e-23,9.65583790424279e-10,3.480138901745046e-14,5.940408099044465e-12,5.588156590337059e-05,1.708975693392106e-17,2.3190336897925047e-11,7.259069287025006e-07,1.407935034875653e-06,2.2529594433156172e-08,1.2636083516922314e-07,5.510006038268353e-08,1.4282352864131011e-05,3.023559531956781e-08,1.6730770400533197e-09,3.119395596460752e-13,2.564124982591371e-16,4.455018481508326e-14
1.212033201330991e-10,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41282258598041766,0.11865329642042749,0.022820847116930547,1.0697098477391994e-15,9.122819351781507e-11,6.427221753514154e-07,8.950976496704949e-11,1.0239719743014008e-13,1.7908166871275928e-11,1.129858923921142e-06,3.73256271691245e-27,1.419592878019182e-06,1.0342389305721621e-18,2.743371504024881e-14,1.3099622453645063e-18,1.0518142900963593e-22,1.0131407534999632e-09,3.549478279926789e-14,6.074947041224974e-12,5.7082406563019355e-05,1.8701160359334522e-17,2.4296459625198792e-11,7.38775456652049e-07,1.4381873021284571e-06,2.2527957918130393e-08,1.2637016064556022e-07,5.59970476668876e-08,1.4595941805636064e-05,3.1592309495044533e-08,1.7163557160077362e-09,3.265740607213055e-13,2.732246046670696e-16,4.5663803041709684e-14
