Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33)
2.500394600308731e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386411753667886,0.20128569221108644,0.16769676303309988,1.5142113132549605e-28,3.484191739677317e-16,3.4141465588837645e-15,4.737659971643224e-31,2.9372849016325362e-18,8.420210772240355e-17,2.698670714413787e-22,7.479273001164074e-70,2.242653524637974e-27,2.463444422644322e-45,1.1729827509160395e-17,6.411748489997762e-42,3.050399871807409e-39,1.4153976128608895e-23,2.962553481415018e-23,5.79852322807188e-27,1.3618680079000721e-09,3.906062242615458e-34,7.271677741095718e-21,8.946187747552474e-07,3.989190735419444e-06,2.0966948242090572e-10,8.721009454940532e-10,3.368407307120418e-11,3.744289832712836e-13,1.4690802199163192e-20,3.211352420171023e-11,4.812646049869665e-16,4.4409023396316523e-23
2.569797938224416e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386398187299608,0.201285667350545,0.1676967076713455,1.9632804777955682e-28,4.1914557845661965e-16,3.761297853270765e-15,5.976676555025996e-31,3.317342858255863e-18,9.53027367089899e-17,2.907680910700775e-22,1.1210393073224417e-69,2.4359726278575696e-27,3.3326199116865895e-45,1.4315027349083174e-17,7.699470621839183e-42,3.7949131744064854e-39,1.648336699682627e-23,3.4928881606124666e-23,6.4215334488607796e-27,1.4415006627790424e-09,5.123874585858239e-34,8.92556092175148e-21,9.194188208989584e-07,4.099910014806694e-06,2.2411729093788033e-10,9.13718843952559e-10,3.805308055827684e-11,4.3500599015661866e-13,1.6813435469215732e-20,3.634275346946235e-11,5.557859412612812e-16,5.120469197513228e-23
2.639201276140101e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386384620721584,0.2012856424901289,0.1676966523097307,2.5279162562110396e-28,5.017892769007118e-16,4.13195096398764e-15,7.493101245096458e-31,3.733968559727476e-18,1.0747919910858305e-16,3.1265151768807205e-22,1.6615921461315083e-69,2.6404452678752515e-27,4.471101426706126e-45,1.7372496359683143e-17,9.210494060693377e-42,4.6917252416453384e-39,1.9114672488918808e-23,4.09744851205054e-23,7.09209891375124e-27,1.5236352601790123e-09,6.678372496513167e-34,1.089519362225835e-20,9.442171484393564e-07,4.210628605442866e-06,2.390291289307231e-10,9.560425961373601e-10,4.2837720165597074e-11,5.032957746997313e-13,1.9173298948957798e-20,4.098161400996017e-11,6.391794541658121e-16,5.879144452279538e-23
2.708604614055786e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386371053932234,0.20128561762983818,0.16769659694825537,3.233561751705044e-28,5.979658773565734e-16,4.5268404849086096e-15,9.339095510222901e-31,4.1894922020195325e-18,1.2079739433130052e-16,3.355336891219761e-22,2.4372179384696556e-69,2.856417272820856e-27,5.951418080177713e-45,2.097118767098018e-17,1.0979264711491834e-41,5.7661568887740326e-39,2.2076635592290346e-23,4.783638968514529e-23,7.812421737668097e-27,1.6082875947229549e-09,8.651926691237308e-34,1.3229761982527577e-20,9.690137575010395e-07,4.32134648223883e-06,2.543942417228296e-10,9.990573215645727e-10,4.806279014713017e-11,5.800181257414163e-13,2.1789245483993568e-20,4.605518923589804e-11,7.3218514128254905e-16,6.723206751107728e-23
2.778007951971471e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.1238635748693001,0.20128559276967284,0.16769654158691963,4.1103735629048875e-28,7.094588761695188e-16,4.946683103347195e-15,1.157484605128135e-30,4.686314890633804e-18,1.3532453072900182e-16,3.594305991723454e-22,3.540318683997745e-69,3.084236606563886e-27,7.8629044022604e-45,2.5187624963257122e-17,1.3045283786075667e-41,7.046785674592689e-39,2.5399724014916953e-23,5.559267028984054e-23,8.584739858436038e-27,1.6954731817024935e-09,1.114480976175528e-33,1.598443974580767e-20,9.938086482088946e-07,4.432063619607189e-06,2.702010762447019e-10,1.042748450109511e-09,5.3753534557582805e-11,6.659348482393855e-13,2.468098693803665e-20,5.1589060565319716e-11,8.355770006447698e-16,7.659177919466018e-23
2.847411289887156e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386343919713383,0.20128556790963287,0.16769648622572345,5.1938775692853835e-28,8.382319887713959e-16,5.392176147644853e-15,1.426947252653014e-30,5.22690757516522e-18,1.5112901746849865e-16,3.843579019370136e-22,5.094795199852901e-69,3.3242533503963886e-27,1.0314610469869264e-44,3.010645388562442e-17,1.5453788838572568e-41,8.565735302650531e-39,2.911618081816324e-23,6.432543299001353e-23,9.41132660612335e-27,1.7852072612683008e-09,1.4278264435310944e-33,1.9220911808406257e-20,1.0186018206881047e-06,4.542779991503442e-06,2.864373269443709e-10,1.0871017181025702e-09,5.993560008725802e-11,7.618509174591581e-13,2.78691013485742e-20,5.7609266248785295e-11,9.50163393956697e-16,8.693821173150825e-23
2.916814627802841e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386330352280857,0.20128554304971819,0.16769643086466682,6.5257243262872825e-28,9.86441442741107e-16,5.863996592527629e-15,1.7502040965990114e-30,5.813810349122045e-18,1.68280357048118e-16,4.103309182961611e-22,7.265122127805903e-69,3.576819669738521e-27,1.343882905097202e-44,3.5820982013945033e-17,1.825655119202724e-41,1.0358975929100188e-38,3.3260048833080976e-23,7.412071081998034e-23,1.0294490027812417e-26,1.877504804197611e-09,1.819824434442825e-33,2.3007914572657317e-20,1.0433932750641535e-06,4.653495571466933e-06,3.030899831381412e-10,1.132103162476291e-09,6.663499405269221e-11,8.68614989220346e-13,3.1375029950022045e-20,6.414226044231049e-11,1.076786531395231e-15,9.834131231664918e-23
2.9862179657185256e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.1238631678463096,0.20128551818992887,0.16769637550374974,8.154612834639915e-28,1.1564486441074967e-15,6.362800350302012e-15,2.1362748115487944e-30,6.449632052363512e-18,1.8684903631985072e-16,4.373646461877654e-22,1.0269684563345942e-68,3.8422897544186674e-27,1.7395658664414647e-44,4.243373200015193e-17,2.151287198668679e-41,1.2466644304086081e-38,3.7867170969339656e-23,8.506825348203485e-23,1.1236571780209731e-26,1.972380520659423e-09,2.3080297434422865e-33,2.742180928126793e-20,1.0681830114628174e-06,4.764210332662366e-06,3.201453801861842e-10,1.177739111494413e-09,7.387804257528238e-11,9.871193192639972e-13,3.522106465409671e-20,7.121487171152255e-11,1.2163213642023839e-15,1.1087318982474772e-22
3.05562130363421e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386303216762247,0.2012854933302649,0.16769632014297223,1.0137330744680426e-27,1.3508337958589573e-15,6.88922127279573e-15,2.5954212839140946e-30,7.137049549542826e-18,2.0690641260760807e-16,4.654737703970006e-22,1.4398017123405917e-68,4.121019761905021e-27,2.2378290813991198e-44,5.005703895545938e-17,2.52907265804015e-41,1.4933382440214503e-38,4.297520426236102e-23,9.726134950682023e-23,1.2239946072904209e-26,2.0698488687043655e-09,2.9135309170990642e-33,3.2547194691914395e-20,1.0929710300101709e-06,4.874924247923113e-06,3.375892522646724e-10,1.2239961759186028e-09,8.169134638876091e-11,1.118300018086841e-12,3.943033970033575e-20,7.88542596673607e-11,1.3696751448906393e-15,1.2460802305684549e-22
3.125024641549895e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386289648673297,0.2012854684707262,0.16769626478233426,1.2539797734191878e-27,1.5724106001403334e-15,7.443869604762571e-15,3.139275056836636e-30,7.878806172736617e-18,2.2852459464116273e-16,4.946726651140329e-22,2.0030534932678447e-68,4.413367810254865e-27,2.8618380489015945e-44,5.881368655538906e-17,2.9667943699281897e-41,1.780868687248096e-38,4.862367998686845e-23,1.1079681106384848e-22,1.3307019429606545e-26,2.169924057026158e-09,3.661548619649043e-33,3.847755576515162e-20,1.1177573308325895e-06,4.985637289796468e-06,3.554067809015352e-10,1.2708612466959495e-09,9.010173323186708e-11,1.2631384285185776e-12,4.4026839113668685e-20,8.708786962590218e-11,1.5377883448459905e-15,1.3962209391357333e-22
3.1944279794655796e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386276080362718,0.20128544361131284,0.16769620942183586,1.5438121770972978e-27,1.8242403926888274e-15,8.02733100565115e-15,3.7809663820067214e-30,8.677710606681301e-18,2.51776327972462e-16,5.2497539724283745e-22,2.7659280490815152e-68,4.719693966235475e-27,3.6391574147198935e-44,6.883749990552849e-17,3.4733409492570225e-41,2.1147253994185928e-38,5.485403738621689e-23,1.2577486965014498e-22,1.444023036876724e-26,2.2726200480881767e-09,4.5820538357266096e-33,4.5315904551938615e-20,1.142541914056758e-06,5.096349430587299e-06,3.7358264215283633e-10,1.3183214919701476e-09,9.913621292856115e-11,1.4226618540470653e-12,4.9035394435730184e-20,9.594338897623843e-11,1.7216344131401243e-15,1.559937139186802e-22
3.263831317381264e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.1238626251182913,0.2012854187520248,0.16769615406147706,1.8919899383232904e-27,2.109645897369478e-15,8.64016662463653e-15,4.535277207030364e-30,9.536636715227123e-18,2.767348857892024e-16,5.563957355910231e-22,3.791776817714602e-68,5.0403601929271054e-27,4.602471349506783e-44,8.027389711379671e-17,4.0588580983741035e-41,2.50093363851229e-38,6.170959422793164e-23,1.4229883065889779e-22,1.5642048419999502e-26,2.377950565630499e-09,5.710583095048952e-33,5.317544018436223e-20,1.1673247798096655e-06,5.207060642399742e-06,3.9210105642106865e-10,1.3663643487905087e-09,1.0882193668606125e-10,1.5979427378318912e-12,5.448165868552969e-20,1.0544870560522716e-10,1.922217449631061e-15,1.738029602215215e-22
3.333234655296949e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386248943071186,0.20128539389286199,0.1676960987012578,2.3085690461807164e-27,2.4322262826463664e-15,9.28291257826756e-15,5.418809032353542e-30,1.0458522827672403e-17,3.034739532885455e-16,5.889471599170579e-22,5.161841800215125e-68,5.375730297526986e-27,5.790415969769686e-44,9.328051204857721e-17,4.734922218596077e-41,2.94611221743741e-38,6.923554298198097e-23,1.6047479841088596e-22,1.691497314845114e-26,2.4859291023237456e-09,7.089193952142615e-33,6.218025842739847e-20,1.1921059282185996e-06,5.3177708971812014e-06,4.109458409443931e-10,1.4149775149482754e-09,1.1918615296175042e-10,1.7900984722682507e-12,6.039208901565238e-20,1.156318638679545e-10,2.140571258033686e-15,1.931315401589756e-22
3.4026379932126336e-11,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386235374087563,0.2012853690338245,0.16769604334117807,2.805071718707504e-27,2.7958743837636915e-15,9.956078361214942e-15,6.450167662179298e-30,1.1446369904319075e-17,3.32067503124093e-16,6.226428657371457e-22,6.9803735439816405e-68,5.7261699074145844e-27,7.248566265849406e-44,1.0802791903214516e-16,5.514745454299505e-41,3.4575152843479064e-38,7.747900543141731e-23,1.804115899699492e-22,1.8261533649083004e-26,2.596568924393918e-09,8.767632341882943e-33,7.246614732638165e-20,1.2168853594111562e-06,5.428480166769565e-06,4.301004624771301e-10,1.4641489446348158e-09,1.3025615787813124e-10,2.000292640008066e-12,6.679394952855306e-20,1.2652101715534442e-10,2.377760792068878e-15,2.1406287792953794e-22
